Runs,Fault Location (SVI),Fault Location (True),Fault Location (RMSE),Z_fault_real (SVI),Z_fault_real (True),Z_fault_real RMSE,Z_fault_imag (SVI),Z_fault_imag (True),Z_fault_imag RMSE,Is Bad Seed
34,0.35459351539611816,0.35786500573158264,0.0032714903354644775,0.3390504717826843,0.3474966585636139,0.008446186780929565,0.4587608873844147,0.41723597049713135,0.041524916887283325,False
35,0.6881306767463684,0.6817017793655396,0.006428897380828857,0.3109276592731476,0.31763267517089844,0.0067050158977508545,0.7067956328392029,0.8335134387016296,0.12671780586242676,False
36,0.458440899848938,0.4635372757911682,0.005096375942230225,0.605392575263977,0.5503111481666565,0.05508142709732056,0.5103328824043274,0.5077354907989502,0.0025973916053771973,False
37,0.5122256875038147,0.5106741786003113,0.001551508903503418,0.7149958610534668,0.6777185797691345,0.037277281284332275,0.5076436400413513,0.7390530705451965,0.23140943050384521,False
38,0.4466959238052368,0.4422186017036438,0.004477322101593018,0.3697879910469055,0.3537774384021759,0.016010552644729614,0.4432995617389679,0.44101378321647644,0.002285778522491455,False
39,0.3811209797859192,0.38818642497062683,0.007065445184707642,0.42723548412323,0.41877448558807373,0.00846099853515625,0.4970741271972656,0.4094962179660797,0.08757790923118591,False
40,0.7446044683456421,0.7442082762718201,0.0003961920738220215,0.4178694486618042,0.38320401310920715,0.034665435552597046,0.33804789185523987,0.24075649678707123,0.09729139506816864,False
41,0.48567938804626465,0.5024519562721252,0.016772568225860596,0.7134677171707153,0.7137770056724548,0.00030928850173950195,0.29444020986557007,0.3474280536174774,0.05298784375190735,False
42,0.42513811588287354,0.42473411560058594,0.00040400028228759766,0.2854546010494232,0.28462183475494385,0.0008327662944793701,0.6381900310516357,0.6564942002296448,0.018304169178009033,False
43,0.19784051179885864,0.16946792602539062,0.028372585773468018,0.5785251259803772,0.5799757838249207,0.001450657844543457,0.27457377314567566,0.4173368215560913,0.14276304841041565,False
44,0.19902989268302917,0.18939566612243652,0.009634226560592651,0.33488500118255615,0.3320208191871643,0.0028641819953918457,0.6314687132835388,0.7073720693588257,0.07590335607528687,False
45,0.4903258979320526,0.49495166540145874,0.004625767469406128,0.6617860794067383,0.6474680304527283,0.01431804895401001,0.28018808364868164,0.3493668735027313,0.06917878985404968,False
46,0.4540479779243469,0.45680755376815796,0.002759575843811035,0.3895968198776245,0.3917248249053955,0.002128005027770996,0.7368079423904419,0.7488570809364319,0.01204913854598999,False
47,0.5145652294158936,0.5282301306724548,0.01366490125656128,0.6312452554702759,0.5940656065940857,0.037179648876190186,0.5736139416694641,0.6580082774162292,0.08439433574676514,False
48,0.27541571855545044,0.2538674771785736,0.02154824137687683,0.6356081366539001,0.6623332500457764,0.02672511339187622,0.6779592037200928,0.6438483595848083,0.034110844135284424,False
49,0.37281957268714905,0.3804551661014557,0.007635593414306641,0.30060243606567383,0.300470769405365,0.0001316666603088379,0.6545701622962952,0.700202226638794,0.04563206434249878,False
50,0.5885239243507385,0.5889087319374084,0.0003848075866699219,0.6727522611618042,0.6983614563941956,0.025609195232391357,0.4404090344905853,0.3221185803413391,0.11829045414924622,False
51,0.59914630651474,0.6004425287246704,0.00129622220993042,0.49851229786872864,0.5115163326263428,0.013004034757614136,0.37576884031295776,0.44631636142730713,0.07054752111434937,False
52,0.45690423250198364,0.46213823556900024,0.0052340030670166016,0.6230006217956543,0.5994312167167664,0.02356940507888794,0.46994051337242126,0.5668877363204956,0.09694722294807434,False
53,0.3121411204338074,0.29335394501686096,0.01878717541694641,0.45175981521606445,0.46388480067253113,0.012124985456466675,0.2965642809867859,0.33239835500717163,0.03583407402038574,False
54,0.6399844884872437,0.6317927837371826,0.008191704750061035,0.5389836430549622,0.5297464728355408,0.009237170219421387,0.4774571359157562,0.3980761766433716,0.07938095927238464,False
55,0.5901655554771423,0.5950921177864075,0.004926562309265137,0.6131553649902344,0.6340508460998535,0.02089548110961914,0.48380202054977417,0.5214481353759766,0.03764611482620239,False
56,0.6700282096862793,0.6677471399307251,0.0022810697555541992,0.45766985416412354,0.46783769130706787,0.010167837142944336,0.5353295803070068,0.67206871509552,0.13673913478851318,False
57,0.641669511795044,0.6493657231330872,0.007696211338043213,0.32070279121398926,0.30652451515197754,0.014178276062011719,0.30800342559814453,0.26949694752693176,0.03850647807121277,False
58,0.6311956644058228,0.6342082619667053,0.0030125975608825684,0.39741024374961853,0.39402157068252563,0.0033886730670928955,0.5257052779197693,0.6131309270858765,0.08742564916610718,False
59,0.4713696241378784,0.47129371762275696,7.590651512145996e-05,0.44466665387153625,0.4466758370399475,0.002009183168411255,0.46161049604415894,0.46392908692359924,0.0023185908794403076,False
60,0.6520081162452698,0.6494356393814087,0.002572476863861084,0.6124412417411804,0.6316456198692322,0.019204378128051758,0.644539475440979,0.6385034918785095,0.006035983562469482,False
61,0.2808694541454315,0.29319387674331665,0.012324422597885132,0.2684178948402405,0.2628735601902008,0.005544334650039673,0.20051082968711853,0.19650481641292572,0.00400601327419281,False
62,0.6515639424324036,0.6470642685890198,0.004499673843383789,0.7475214004516602,0.7771236300468445,0.029602229595184326,0.6055469512939453,0.6636180877685547,0.058071136474609375,False
63,0.6188381910324097,0.6150096654891968,0.0038285255432128906,0.40931040048599243,0.40914422273635864,0.00016617774963378906,0.6446747183799744,0.6114497780799866,0.03322494029998779,False
64,0.7126763463020325,0.7181428670883179,0.0054665207862854,0.24961087107658386,0.2435699701309204,0.006040900945663452,0.23163141310214996,0.22864462435245514,0.0029867887496948242,False
65,0.5436392426490784,0.5486828684806824,0.005043625831604004,0.7195656299591064,0.7089402675628662,0.010625362396240234,0.620242714881897,0.5629287958145142,0.05731391906738281,False
66,0.4898594617843628,0.4826853275299072,0.007174134254455566,0.465329647064209,0.4427211582660675,0.02260848879814148,0.44359248876571655,0.46624457836151123,0.022652089595794678,False
67,0.7372984886169434,0.7209171056747437,0.016381382942199707,0.5870281457901001,0.5683072805404663,0.01872086524963379,0.4476921260356903,0.43015578389167786,0.01753634214401245,False
68,0.37023451924324036,0.3453826606273651,0.024851858615875244,0.5535064339637756,0.5403695702552795,0.013136863708496094,0.3356638550758362,0.26820123195648193,0.06746262311935425,False
69,0.3176195025444031,0.31420621275901794,0.003413289785385132,0.5344846844673157,0.5187458992004395,0.01573878526687622,0.6280263662338257,0.6005374193191528,0.02748894691467285,False
70,0.6331360936164856,0.6252703070640564,0.0078657865524292,0.5636345148086548,0.6221967935562134,0.058562278747558594,0.6557416915893555,0.7275949716567993,0.07185328006744385,False
71,0.3943362534046173,0.3936421871185303,0.0006940662860870361,0.3263791799545288,0.32610106468200684,0.00027811527252197266,0.6865863800048828,0.7095575332641602,0.022971153259277344,False
72,0.7371361255645752,0.7395811676979065,0.002445042133331299,0.3708342909812927,0.38688695430755615,0.016052663326263428,0.26365143060684204,0.23275794088840485,0.030893489718437195,False
73,0.23738695681095123,0.2501349151134491,0.012747958302497864,0.5201103687286377,0.5440371632575989,0.02392679452896118,0.504247784614563,0.4606117606163025,0.0436360239982605,False
74,0.22161661088466644,0.23646137118339539,0.014844760298728943,0.5640742182731628,0.5791273713111877,0.015053153038024902,0.63020920753479,0.5630978345870972,0.06711137294769287,False
75,0.4587172269821167,0.4490589201450348,0.00965830683708191,0.7236945629119873,0.7655107975006104,0.04181623458862305,0.5456705093383789,0.6341472268104553,0.08847671747207642,False
76,0.46449777483940125,0.46713948249816895,0.0026417076587677,0.23336264491081238,0.22990086674690247,0.003461778163909912,0.3705507516860962,0.37703996896743774,0.006489217281341553,False
77,0.2843032479286194,0.26797884702682495,0.016324400901794434,0.40018847584724426,0.39965781569480896,0.0005306601524353027,0.28608036041259766,0.3278125524520874,0.041732192039489746,False
78,0.5894101858139038,0.5882418155670166,0.001168370246887207,0.6981242895126343,0.7075366377830505,0.00941234827041626,0.599195659160614,0.7339257001876831,0.1347300410270691,False
79,0.6064373254776001,0.6112086176872253,0.004771292209625244,0.5941930413246155,0.621573269367218,0.02738022804260254,0.40342095494270325,0.16118799149990082,0.24223296344280243,False
80,0.4519352912902832,0.46150389313697815,0.009568601846694946,0.25947168469429016,0.2561365067958832,0.0033351778984069824,0.8175106048583984,0.7701523303985596,0.04735827445983887,False
81,0.5380478501319885,0.5348219275474548,0.0032259225845336914,0.7498407363891602,0.7421309351921082,0.007709801197052002,0.47210338711738586,0.3748146891593933,0.09728869795799255,False
82,0.49135518074035645,0.47341054677963257,0.017944633960723877,0.6269612312316895,0.6232264041900635,0.0037348270416259766,0.6554771661758423,0.515557587146759,0.13991957902908325,False
83,0.44145792722702026,0.4454263150691986,0.003968387842178345,0.5732272267341614,0.5766199231147766,0.0033926963806152344,0.46259647607803345,0.331168532371521,0.13142794370651245,False
84,0.6567604541778564,0.6506755948066711,0.006084859371185303,0.5274338126182556,0.4862262010574341,0.04120761156082153,0.3538915514945984,0.3861564099788666,0.03226485848426819,False
85,0.24381780624389648,0.2512400448322296,0.00742223858833313,0.6319137811660767,0.6300927996635437,0.001820981502532959,0.5568004846572876,0.5752336978912354,0.018433213233947754,False
86,0.4092637896537781,0.40185901522636414,0.00740477442741394,0.45218920707702637,0.45404085516929626,0.0018516480922698975,0.5349902510643005,0.552783191204071,0.017792940139770508,False
87,0.5990400910377502,0.5986971855163574,0.00034290552139282227,0.6542649269104004,0.6490181684494019,0.005246758460998535,0.44075119495391846,0.4795663356781006,0.03881514072418213,False
88,0.7107290029525757,0.714819073677063,0.004090070724487305,0.34293290972709656,0.34705793857574463,0.004125028848648071,0.26431822776794434,0.225111186504364,0.03920704126358032,False
89,0.5070823431015015,0.509014368057251,0.0019320249557495117,0.47174155712127686,0.4651026427745819,0.006638914346694946,0.47279277443885803,0.6055397987365723,0.13274702429771423,False
90,0.6435753107070923,0.6457750201225281,0.002199709415435791,0.43299242854118347,0.4712902307510376,0.038297802209854126,0.3900982439517975,0.5002033710479736,0.11010512709617615,False
91,0.5615260004997253,0.5597504377365112,0.0017755627632141113,0.5851273536682129,0.57855224609375,0.006575107574462891,0.3553510904312134,0.23682327568531036,0.11852781474590302,False
92,0.5230486989021301,0.5259850025177002,0.0029363036155700684,0.4554169178009033,0.45145532488822937,0.00396159291267395,0.6569525003433228,0.6621618270874023,0.00520932674407959,False
93,0.7233788371086121,0.8375777006149292,0.11419886350631714,0.3942219913005829,0.3876643776893616,0.0065576136112213135,0.3791954517364502,0.3425534963607788,0.03664195537567139,True
94,0.564460277557373,0.5610093474388123,0.003450930118560791,0.2585747241973877,0.25810420513153076,0.0004705190658569336,0.42561858892440796,0.38892456889152527,0.03669402003288269,False
95,0.5758258104324341,0.5805364847183228,0.004710674285888672,0.6020604968070984,0.5486429929733276,0.05341750383377075,0.4779786765575409,0.6626367568969727,0.18465808033943176,False
96,0.4312591552734375,0.44110989570617676,0.009850740432739258,0.7519876956939697,0.8140803575515747,0.06209266185760498,0.3463784158229828,0.3605624735355377,0.014184057712554932,False
97,0.3769245147705078,0.3647099733352661,0.0122145414352417,0.4699401557445526,0.45960620045661926,0.01033395528793335,0.4815601110458374,0.5260715484619141,0.04451143741607666,False
98,0.19428487122058868,0.16652372479438782,0.027761146426200867,0.39035874605178833,0.3946419656276703,0.004283219575881958,0.33905789256095886,0.4256245791912079,0.08656668663024902,False
99,0.5517776012420654,0.5372713804244995,0.014506220817565918,0.511268138885498,0.5092341899871826,0.0020339488983154297,0.6285413503646851,0.7727616429328918,0.1442202925682068,False
100,0.21201889216899872,0.1976589858531952,0.014359906315803528,0.4158606231212616,0.4253683388233185,0.009507715702056885,0.6507700681686401,0.6455824375152588,0.005187630653381348,False
