parameter,q_mean_normalized,true_normalized,error
l_w_12,0.4167642295360565,0.25,0.16676422953605652
load_20.R_m1,0.4770817756652832,0.25,0.2270817756652832
l_w_5,0.4151481091976166,0.25,0.16514810919761658
l_w_20,0.41088810563087463,0.25,0.16088810563087463
load_6.R_m1,0.43058979511260986,0.25,0.18058979511260986
load_18.R_m1,0.45151638984680176,0.25,0.20151638984680176
load_8.R_m1,0.4397033452987671,0.25,0.1897033452987671
l_w_17,0.44171392917633057,0.25,0.19171392917633057
load_7.omega_0s,0.49941349029541016,0.25,0.24941349029541016
load_10.omega_0s,0.5004108548164368,0.25,0.25041085481643677
load_10.R_s,0.4730556607246399,0.25,0.2230556607246399
load_7.R_s,0.5097475051879883,0.25,0.2597475051879883
load_10.zeta_s,0.5062130689620972,0.25,0.25621306896209717
load_4.omega_0s,0.4728209972381592,0.25,0.22282099723815918
load_16.omega_0s,0.4741891026496887,0.25,0.22418910264968872
l_w_26,0.48348015546798706,0.25,0.23348015546798706
load_7.zeta_s,0.49550676345825195,0.25,0.24550676345825195
load_3.L_m,0.4996706247329712,0.25,0.2496706247329712
load_15.L_m,0.5033292770385742,0.25,0.2533292770385742
load_1.L_m,0.4824512302875519,0.25,0.23245123028755188
load_11.L_m,0.4895021915435791,0.25,0.2395021915435791
load_9.L_m,0.4874277710914612,0.25,0.23742777109146118
load_4.R_s,0.5096845030784607,0.25,0.2596845030784607
load_16.R_s,0.49441471695899963,0.25,0.24441471695899963
load_6.L_m,0.4839657247066498,0.25,0.23396572470664978
load_18.L_m,0.4855208992958069,0.25,0.23552089929580688
load_8.L_m,0.4975052773952484,0.25,0.2475052773952484
load_0.L_m,0.4712887406349182,0.25,0.2212887406349182
load_4.zeta_s,0.4970264136791229,0.25,0.24702641367912292
load_16.zeta_s,0.5112602710723877,0.25,0.2612602710723877
l_w_7,0.505173921585083,0.25,0.255173921585083
l_w_22,0.49869799613952637,0.25,0.24869799613952637
load_20.L_m,0.4747718572616577,0.25,0.22477185726165771
load_10.delta_1,0.5011401176452637,0.25,0.25114011764526367
load_7.delta_1,0.4999377727508545,0.25,0.2499377727508545
load_4.delta_1,0.5049213171005249,0.25,0.2549213171005249
load_16.delta_1,0.49233323335647583,0.25,0.24233323335647583
load_7.delta_2,0.508182942867279,0.25,0.25818294286727905
load_10.delta_2,0.5014207363128662,0.25,0.2514207363128662
load_4.delta_2,0.5088894367218018,0.25,0.25888943672180176
load_16.delta_2,0.4964956045150757,0.25,0.24649560451507568
load_7.omega_0p,0.4890808165073395,0.25,0.23908081650733948
load_10.omega_0p,0.5007480382919312,0.25,0.25074803829193115
load_10.R_p,0.5075815320014954,0.25,0.25758153200149536
load_7.R_p,0.5198670625686646,0.25,0.26986706256866455
load_10.zeta_p,0.4908280670642853,0.25,0.24082806706428528
