parameter,q_mean_normalized,true_normalized,error
load_11.C_m,0.44840946793556213,0.25,0.19840946793556213
load_5.R_const,0.3988794982433319,0.25,0.1488794982433319
load_17.R_const,0.4038286805152893,0.25,0.1538286805152893
load_9.C_m,0.3387318253517151,0.25,0.08873182535171509
load_12.C_leak,0.43701574206352234,0.25,0.18701574206352234
l_w_14,0.23684655129909515,0.25,-0.013153448700904846
l_w_9,0.2317732721567154,0.25,-0.018226727843284607
l_w_24,0.24821503460407257,0.25,-0.0017849653959274292
l_w_19,0.32542818784713745,0.25,0.07542818784713745
load_12.R_const,0.44606441259384155,0.25,0.19606441259384155
load_3.C_m,0.3344085216522217,0.25,0.08440852165222168
load_15.C_m,0.4016229510307312,0.25,0.1516229510307312
load_8.C_m,0.4183166027069092,0.25,0.16831660270690918
l_w_0,0.24836735427379608,0.25,-0.0016326457262039185
l_w_2,0.42346516251564026,0.25,0.17346516251564026
load_14.R_const,0.09282118827104568,0.25,-0.15717881172895432
load_13.R_const,0.4465876519680023,0.25,0.19658765196800232
load_5.C_leak,0.4463495910167694,0.25,0.1963495910167694
load_17.C_leak,0.4581117033958435,0.25,0.2081117033958435
load_6.C_m,0.4238181710243225,0.25,0.1738181710243225
load_18.C_m,0.49660322070121765,0.25,0.24660322070121765
l_w_18,0.35176897048950195,0.25,0.10176897048950195
l_w_16,0.3730926215648651,0.25,0.12309262156486511
l_w_11,0.30205094814300537,0.25,0.05205094814300537
l_w_8,0.3095579445362091,0.25,0.059557944536209106
l_w_23,0.30570274591445923,0.25,0.05570274591445923
l_w_13,0.2982565760612488,0.25,0.04825657606124878
l_w_6,0.30178403854370117,0.25,0.05178403854370117
l_w_21,0.2941617965698242,0.25,0.04416179656982422
load_1.R_m1,0.4140787124633789,0.25,0.1640787124633789
l_w_29,0.41230231523513794,0.25,0.16230231523513794
load_11.R_m1,0.4286186099052429,0.25,0.17861860990524292
load_0.R_m1,0.44316524267196655,0.25,0.19316524267196655
load_9.R_m1,0.41993963718414307,0.25,0.16993963718414307
l_w_10,0.4939742088317871,0.25,0.2439742088317871
load_3.R_m1,0.42510098218917847,0.25,0.17510098218917847
load_15.R_m1,0.39224356412887573,0.25,0.14224356412887573
l_w_15,0.47178080677986145,0.25,0.22178080677986145
l_w_12,0.44329801201820374,0.25,0.19329801201820374
load_20.R_m1,0.47804194688796997,0.25,0.22804194688796997
l_w_5,0.44554346799850464,0.25,0.19554346799850464
l_w_20,0.4400932490825653,0.25,0.1900932490825653
load_6.R_m1,0.4285355806350708,0.25,0.1785355806350708
load_18.R_m1,0.4096530079841614,0.25,0.15965300798416138
load_8.R_m1,0.4369789659976959,0.25,0.18697896599769592
l_w_17,0.43801265954971313,0.25,0.18801265954971313
load_7.omega_0s,0.524529755115509,0.25,0.27452975511550903
load_10.omega_0s,0.45572659373283386,0.25,0.20572659373283386
load_10.R_s,0.5170188546180725,0.25,0.2670188546180725
load_7.R_s,0.4944037199020386,0.25,0.24440371990203857
load_10.zeta_s,0.5126392841339111,0.25,0.26263928413391113
load_4.omega_0s,0.45408058166503906,0.25,0.20408058166503906
load_16.omega_0s,0.4531136751174927,0.25,0.20311367511749268
l_w_26,0.47867757081985474,0.25,0.22867757081985474
load_7.zeta_s,0.5010889768600464,0.25,0.2510889768600464
load_3.L_m,0.4669990837574005,0.25,0.2169990837574005
load_15.L_m,0.4824453592300415,0.25,0.2324453592300415
load_1.L_m,0.49130475521087646,0.25,0.24130475521087646
load_11.L_m,0.48174288868904114,0.25,0.23174288868904114
load_9.L_m,0.48616689443588257,0.25,0.23616689443588257
load_4.R_s,0.5093745589256287,0.25,0.25937455892562866
load_16.R_s,0.5080251693725586,0.25,0.2580251693725586
load_6.L_m,0.4729882478713989,0.25,0.22298824787139893
load_18.L_m,0.4809998869895935,0.25,0.2309998869895935
load_8.L_m,0.4858716130256653,0.25,0.23587161302566528
load_0.L_m,0.47255152463912964,0.25,0.22255152463912964
load_4.zeta_s,0.5107334852218628,0.25,0.2607334852218628
load_16.zeta_s,0.5181779861450195,0.25,0.26817798614501953
l_w_7,0.49075329303741455,0.25,0.24075329303741455
l_w_22,0.5064074397087097,0.25,0.2564074397087097
load_20.L_m,0.48128798604011536,0.25,0.23128798604011536
load_10.delta_1,0.5027704238891602,0.25,0.25277042388916016
load_7.delta_1,0.4853544533252716,0.25,0.2353544533252716
load_4.delta_1,0.48675090074539185,0.25,0.23675090074539185
load_16.delta_1,0.4981711804866791,0.25,0.24817118048667908
