parameter,q_mean_normalized,true_normalized,error
l_w_11,0.23675115406513214,0.25,-0.013248845934867859
l_w_8,0.12787479162216187,0.25,-0.12212520837783813
l_w_23,0.2349548041820526,0.25,-0.015045195817947388
l_w_13,0.36327946186065674,0.25,0.11327946186065674
l_w_6,0.137212336063385,0.25,-0.11278766393661499
l_w_21,0.295620858669281,0.25,0.045620858669281006
load_1.R_m1,0.2604833245277405,0.25,0.010483324527740479
l_w_29,0.2579716742038727,0.25,0.00797167420387268
load_11.R_m1,0.0698552131652832,0.25,-0.1801447868347168
load_0.R_m1,0.4357929229736328,0.25,0.1857929229736328
load_9.R_m1,0.4290449619293213,0.25,0.1790449619293213
l_w_10,0.4337441325187683,0.25,0.1837441325187683
load_3.R_m1,0.06058674305677414,0.25,-0.18941325694322586
load_15.R_m1,0.155257448554039,0.25,-0.094742551445961
l_w_15,0.3182957172393799,0.25,0.06829571723937988
l_w_12,0.25366032123565674,0.25,0.0036603212356567383
load_20.R_m1,0.4454500079154968,0.25,0.19545000791549683
l_w_5,0.6011909246444702,0.25,0.3511909246444702
l_w_20,0.22475500404834747,0.25,-0.025244995951652527
load_6.R_m1,0.0884435847401619,0.25,-0.1615564152598381
load_18.R_m1,0.14302831888198853,0.25,-0.10697168111801147
load_8.R_m1,0.3204011023044586,0.25,0.07040110230445862
l_w_17,0.2875019311904907,0.25,0.03750193119049072
load_7.omega_0s,0.5108721256256104,0.25,0.26087212562561035
load_10.omega_0s,0.3353874683380127,0.25,0.0853874683380127
load_10.R_s,0.45248526334762573,0.25,0.20248526334762573
load_7.R_s,0.4358745217323303,0.25,0.18587452173233032
load_10.zeta_s,0.4913995862007141,0.25,0.2413995862007141
load_4.omega_0s,0.4267207682132721,0.25,0.1767207682132721
load_16.omega_0s,0.4160293936729431,0.25,0.16602939367294312
l_w_26,0.23739787936210632,0.25,-0.012602120637893677
load_7.zeta_s,0.44172045588493347,0.25,0.19172045588493347
load_3.L_m,0.21511298418045044,0.25,-0.03488701581954956
load_15.L_m,0.22757475078105927,0.25,-0.022425249218940735
load_1.L_m,0.210801899433136,0.25,-0.039198100566864014
load_11.L_m,0.24196186661720276,0.25,-0.008038133382797241
load_9.L_m,0.24397744238376617,0.25,-0.006022557616233826
load_4.R_s,0.4640441834926605,0.25,0.21404418349266052
load_16.R_s,0.5167126059532166,0.25,0.26671260595321655
load_6.L_m,0.23128420114517212,0.25,-0.01871579885482788
load_18.L_m,0.23317323625087738,0.25,-0.01682676374912262
load_8.L_m,0.2394789606332779,0.25,-0.010521039366722107
load_0.L_m,0.2741955816745758,0.25,0.024195581674575806
load_4.zeta_s,0.49068063497543335,0.25,0.24068063497543335
load_16.zeta_s,0.5319148898124695,0.25,0.2819148898124695
l_w_7,0.44017669558525085,0.25,0.19017669558525085
l_w_22,0.4770585298538208,0.25,0.2270585298538208
load_20.L_m,0.3755591809749603,0.25,0.12555918097496033
load_10.delta_1,0.4974633455276489,0.25,0.24746334552764893
load_7.delta_1,0.49627986550331116,0.25,0.24627986550331116
