parameter,q_mean_normalized,true_normalized,error
load_12.R_const,0.4093923270702362,0.25,0.1593923270702362
load_3.C_m,0.43066999316215515,0.25,0.18066999316215515
load_15.C_m,0.4312284588813782,0.25,0.18122845888137817
load_8.C_m,0.4284026324748993,0.25,0.1784026324748993
l_w_0,0.3132760524749756,0.25,0.06327605247497559
l_w_2,0.502173662185669,0.25,0.25217366218566895
load_14.R_const,0.4503277838230133,0.25,0.2003277838230133
load_13.R_const,0.42944884300231934,0.25,0.17944884300231934
load_5.C_leak,0.48241329193115234,0.25,0.23241329193115234
load_17.C_leak,0.4741330146789551,0.25,0.22413301467895508
load_6.C_m,0.451515257358551,0.25,0.20151525735855103
load_18.C_m,0.47568947076797485,0.25,0.22568947076797485
l_w_18,0.41048261523246765,0.25,0.16048261523246765
l_w_16,0.41995325684547424,0.25,0.16995325684547424
l_w_11,0.3823539614677429,0.25,0.13235396146774292
l_w_8,0.379412442445755,0.25,0.129412442445755
l_w_23,0.3931291997432709,0.25,0.14312919974327087
l_w_13,0.3870047330856323,0.25,0.13700473308563232
l_w_6,0.38981154561042786,0.25,0.13981154561042786
l_w_21,0.39514878392219543,0.25,0.14514878392219543
load_1.R_m1,0.49435752630233765,0.25,0.24435752630233765
l_w_29,0.46066346764564514,0.25,0.21066346764564514
load_11.R_m1,0.4754122495651245,0.25,0.2254122495651245
load_0.R_m1,0.4944952130317688,0.25,0.2444952130317688
load_9.R_m1,0.4518055319786072,0.25,0.20180553197860718
l_w_10,0.5030901432037354,0.25,0.25309014320373535
load_3.R_m1,0.485690176486969,0.25,0.235690176486969
load_15.R_m1,0.4659549593925476,0.25,0.2159549593925476
l_w_15,0.48399871587753296,0.25,0.23399871587753296
l_w_12,0.4129643142223358,0.25,0.16296431422233582
load_20.R_m1,0.4701375365257263,0.25,0.22013753652572632
l_w_5,0.4288601875305176,0.25,0.17886018753051758
l_w_20,0.44924673438072205,0.25,0.19924673438072205
load_6.R_m1,0.4651579260826111,0.25,0.21515792608261108
load_18.R_m1,0.45956987142562866,0.25,0.20956987142562866
load_8.R_m1,0.4712093472480774,0.25,0.2212093472480774
l_w_17,0.4889746308326721,0.25,0.23897463083267212
load_7.omega_0s,0.4973708689212799,0.25,0.2473708689212799
load_10.omega_0s,0.49732616543769836,0.25,0.24732616543769836
load_10.R_s,0.481882244348526,0.25,0.231882244348526
load_7.R_s,0.48705077171325684,0.25,0.23705077171325684
load_10.zeta_s,0.5060527920722961,0.25,0.25605279207229614
load_4.omega_0s,0.49681875109672546,0.25,0.24681875109672546
load_16.omega_0s,0.4881860017776489,0.25,0.23818600177764893
l_w_26,0.47368761897087097,0.25,0.22368761897087097
load_7.zeta_s,0.5043095350265503,0.25,0.2543095350265503
load_3.L_m,0.5002504587173462,0.25,0.2502504587173462
load_15.L_m,0.49799156188964844,0.25,0.24799156188964844
load_1.L_m,0.4837951064109802,0.25,0.23379510641098022
load_11.L_m,0.4979482889175415,0.25,0.2479482889175415
load_9.L_m,0.48938485980033875,0.25,0.23938485980033875
load_4.R_s,0.5127665400505066,0.25,0.2627665400505066
load_16.R_s,0.4948806166648865,0.25,0.24488061666488647
load_6.L_m,0.493152379989624,0.25,0.24315237998962402
load_18.L_m,0.5007733106613159,0.25,0.2507733106613159
load_8.L_m,0.49023446440696716,0.25,0.24023446440696716
load_0.L_m,0.47873106598854065,0.25,0.22873106598854065
load_4.zeta_s,0.4940483868122101,0.25,0.24404838681221008
load_16.zeta_s,0.5046156644821167,0.25,0.2546156644821167
l_w_7,0.4941851496696472,0.25,0.24418514966964722
l_w_22,0.4799768626689911,0.25,0.2299768626689911
load_20.L_m,0.506809651851654,0.25,0.25680965185165405
load_10.delta_1,0.4946715235710144,0.25,0.2446715235710144
load_7.delta_1,0.49994516372680664,0.25,0.24994516372680664
load_4.delta_1,0.4850286543369293,0.25,0.23502865433692932
load_16.delta_1,0.4824815094470978,0.25,0.23248150944709778
load_7.delta_2,0.4916618764400482,0.25,0.24166187644004822
load_10.delta_2,0.5103480219841003,0.25,0.26034802198410034
load_4.delta_2,0.49287545680999756,0.25,0.24287545680999756
load_16.delta_2,0.4925464689731598,0.25,0.2425464689731598
load_7.omega_0p,0.508918285369873,0.25,0.25891828536987305
load_10.omega_0p,0.5048618912696838,0.25,0.25486189126968384
load_10.R_p,0.4789704978466034,0.25,0.2289704978466034
load_7.R_p,0.4960770010948181,0.25,0.24607700109481812
load_10.zeta_p,0.49958550930023193,0.25,0.24958550930023193
load_4.omega_0p,0.491413414478302,0.25,0.241413414478302
load_16.omega_0p,0.4954321086406708,0.25,0.24543210864067078
load_7.zeta_p,0.5023035407066345,0.25,0.2523035407066345
load_4.R_p,0.5010415315628052,0.25,0.2510415315628052
load_16.R_p,0.5111621618270874,0.25,0.2611621618270874
load_4.zeta_p,0.5071115493774414,0.25,0.2571115493774414
